%_Annual_J-D__________________ L-OTI(^S^o^N^C) Change 1957-2017                  
%   i   j     lon     lat    array(i,j)
 161   1  141.00  -89.00        0.4377
 162   1  143.00  -89.00        0.4377
 163   1  145.00  -89.00        0.4377
 164   1  147.00  -89.00        0.4377
 165   1  149.00  -89.00        0.4377
 166   1  151.00  -89.00        0.4377
 167   1  153.00  -89.00        0.4377
 168   1  155.00  -89.00        0.4377
 169   1  157.00  -89.00        0.4377
 170   1  159.00  -89.00        0.4377
 171   1  161.00  -89.00        0.4377
 172   1  163.00  -89.00        0.4377
 173   1  165.00  -89.00        0.4377
 174   1  167.00  -89.00        0.4377
 175   1  169.00  -89.00        0.4377
 176   1  171.00  -89.00        0.4377
 177   1  173.00  -89.00        0.4377
 178   1  175.00  -89.00        0.4377
 179   1  177.00  -89.00        0.4377
 180   1  179.00  -89.00        0.4377
   1   2 -179.00  -87.00        0.4377
   2   2 -177.00  -87.00        0.4377
   3   2 -175.00  -87.00        0.4377
   4   2 -173.00  -87.00        0.4377
   5   2 -171.00  -87.00        0.4377
   6   2 -169.00  -87.00        0.4377
   7   2 -167.00  -87.00        0.4377
   8   2 -165.00  -87.00        0.4377
   9   2 -163.00  -87.00        0.4377
  10   2 -161.00  -87.00        0.4377
  11   2 -159.00  -87.00        0.4377
  12   2 -157.00  -87.00        0.4377
  13   2 -155.00  -87.00        0.4377
  14   2 -153.00  -87.00        0.4377
  15   2 -151.00  -87.00        0.4377
  16   2 -149.00  -87.00        0.4377
  17   2 -147.00  -87.00        0.4377
  18   2 -145.00  -87.00        0.4377
  19   2 -143.00  -87.00        0.4377
  20   2 -141.00  -87.00        0.4377
  21   2 -139.00  -87.00        0.4377
  22   2 -137.00  -87.00        0.4377
  23   2 -135.00  -87.00        0.4377
  24   2 -133.00  -87.00        0.4377
  25   2 -131.00  -87.00        0.4377
  26   2 -129.00  -87.00        0.4377
  27   2 -127.00  -87.00        0.4377
  28   2 -125.00  -87.00        0.4377
  29   2 -123.00  -87.00        0.4377
  30   2 -121.00  -87.00        0.4377
  31   2 -119.00  -87.00        0.4377
  32   2 -117.00  -87.00        0.4377
  33   2 -115.00  -87.00        0.4377
  34   2 -113.00  -87.00        0.4377
  35   2 -111.00  -87.00        0.4377
  36   2 -109.00  -87.00        0.4377
  37   2 -107.00  -87.00        0.4377
  38   2 -105.00  -87.00        0.4377
  39   2 -103.00  -87.00        0.4377
  40   2 -101.00  -87.00        0.4377
  41   2  -99.00  -87.00        0.4377
  42   2  -97.00  -87.00        0.4377
  43   2  -95.00  -87.00        0.4377
  44   2  -93.00  -87.00        0.4377
  45   2  -91.00  -87.00        0.4377
  46   2  -89.00  -87.00        0.4377
  47   2  -87.00  -87.00        0.4377
  48   2  -85.00  -87.00        0.4377
  49   2  -83.00  -87.00        0.4377
  50   2  -81.00  -87.00        0.4377
  51   2  -79.00  -87.00        0.4377
  52   2  -77.00  -87.00        0.4377
  53   2  -75.00  -87.00        0.4377
  54   2  -73.00  -87.00        0.4377
  55   2  -71.00  -87.00        0.4377
  56   2  -69.00  -87.00        0.4377
  57   2  -67.00  -87.00        0.4377
  58   2  -65.00  -87.00        0.4377
  59   2  -63.00  -87.00        0.4377
  60   2  -61.00  -87.00        0.4377
  61   2  -59.00  -87.00        0.4377
  62   2  -57.00  -87.00        0.4377
  63   2  -55.00  -87.00        0.4377
  64   2  -53.00  -87.00        0.4377
  65   2  -51.00  -87.00        0.4377
  66   2  -49.00  -87.00        0.4377
  67   2  -47.00  -87.00        0.4377
  68   2  -45.00  -87.00        0.4377
  69   2  -43.00  -87.00        0.4377
  70   2  -41.00  -87.00        0.4377
  71   2  -39.00  -87.00        0.4377
  72   2  -37.00  -87.00        0.4377
  73   2  -35.00  -87.00        0.4377
  74   2  -33.00  -87.00        0.4377
  75   2  -31.00  -87.00        0.4377
  76   2  -29.00  -87.00        0.4377
  77   2  -27.00  -87.00        0.4377
  78   2  -25.00  -87.00        0.4377
  79   2  -23.00  -87.00        0.4377
  80   2  -21.00  -87.00        0.4377
  81   2  -19.00  -87.00        0.4377
  82   2  -17.00  -87.00        0.4377
  83   2  -15.00  -87.00        0.4377
  84   2  -13.00  -87.00        0.4377
  85   2  -11.00  -87.00        0.4377
  86   2   -9.00  -87.00        0.4377
  87   2   -7.00  -87.00        0.4377
  88   2   -5.00  -87.00        0.4377
  89   2   -3.00  -87.00        0.4377
  90   2   -1.00  -87.00        0.4377
  91   2    1.00  -87.00        0.4377
  92   2    3.00  -87.00        0.4377
  93   2    5.00  -87.00        0.4377
  94   2    7.00  -87.00        0.4377
  95   2    9.00  -87.00        0.4377
  96   2   11.00  -87.00        0.4377
  97   2   13.00  -87.00        0.4377
  98   2   15.00  -87.00        0.4377
  99   2   17.00  -87.00        0.4377
 100   2   19.00  -87.00        0.4377
 101   2   21.00  -87.00        0.4377
 102   2   23.00  -87.00        0.4377
 103   2   25.00  -87.00        0.4377
 104   2   27.00  -87.00        0.4377
 105   2   29.00  -87.00        0.4377
 106   2   31.00  -87.00        0.4377
 107   2   33.00  -87.00        0.4377
 108   2   35.00  -87.00        0.4377
 109   2   37.00  -87.00        0.4377
 110   2   39.00  -87.00        0.4377
 111   2   41.00  -87.00        0.4377
 112   2   43.00  -87.00        0.4377
 113   2   45.00  -87.00        0.4377
 114   2   47.00  -87.00        0.4377
 115   2   49.00  -87.00        0.4377
 116   2   51.00  -87.00        0.4377
 117   2   53.00  -87.00        0.4377
 118   2   55.00  -87.00        0.4377
 119   2   57.00  -87.00        0.4377
 120   2   59.00  -87.00        0.4377
 121   2   61.00  -87.00        0.4377
 122   2   63.00  -87.00        0.4377
 123   2   65.00  -87.00        0.4377
 124   2   67.00  -87.00        0.4377
 125   2   69.00  -87.00        0.4377
 126   2   71.00  -87.00        0.4377
 127   2   73.00  -87.00        0.4377
 128   2   75.00  -87.00        0.4377
 129   2   77.00  -87.00        0.4377
 130   2   79.00  -87.00        0.4377
 131   2   81.00  -87.00        0.4377
 132   2   83.00  -87.00        0.4377
 133   2   85.00  -87.00        0.4377
 134   2   87.00  -87.00        0.4377
 135   2   89.00  -87.00        0.4377
 136   2   91.00  -87.00        0.4377
 137   2   93.00  -87.00        0.4377
 138   2   95.00  -87.00        0.4377
 139   2   97.00  -87.00        0.4377
 140   2   99.00  -87.00        0.4377
 141   2  101.00  -87.00        0.4377
 142   2  103.00  -87.00        0.4377
 143   2  105.00  -87.00        0.4377
 144   2  107.00  -87.00        0.4377
 145   2  109.00  -87.00        0.4377
 146   2  111.00  -87.00        0.4377
 147   2  113.00  -87.00        0.4377
 148   2  115.00  -87.00        0.4377
 149   2  117.00  -87.00        0.4377
 150   2  119.00  -87.00        0.4377
 151   2  121.00  -87.00        0.4377
 152   2  123.00  -87.00        0.4377
 153   2  125.00  -87.00        0.4377
 154   2  127.00  -87.00        0.4377
 155   2  129.00  -87.00        0.4377
 156   2  131.00  -87.00        0.4377
 157   2  133.00  -87.00        0.4377
 158   2  135.00  -87.00        0.4377
 159   2  137.00  -87.00        0.4377
 160   2  139.00  -87.00        0.4377
 161   2  141.00  -87.00        0.4377
 162   2  143.00  -87.00        0.4377
 163   2  145.00  -87.00        0.4377
 164   2  147.00  -87.00        0.4377
 165   2  149.00  -87.00        0.4377
 166   2  151.00  -87.00        0.4377
 167   2  153.00  -87.00        0.4377
 168   2  155.00  -87.00        0.4377
 169   2  157.00  -87.00        0.4377
 170   2  159.00  -87.00        0.4377
 171   2  161.00  -87.00        0.4377
 172   2  163.00  -87.00        0.4377
 173   2  165.00  -87.00        0.4377
 174   2  167.00  -87.00        0.4377
 175   2  169.00  -87.00        0.4377
 176   2  171.00  -87.00        0.4377
 177   2  173.00  -87.00        0.4377
 178   2  175.00  -87.00        0.4377
 179   2  177.00  -87.00        0.4377
 180   2  179.00  -87.00        0.4377
   1   3 -179.00  -85.00        0.4377
   2   3 -177.00  -85.00        0.4377
   3   3 -175.00  -85.00        0.4377
   4   3 -173.00  -85.00        0.4377
   5   3 -171.00  -85.00        0.4377
   6   3 -169.00  -85.00        0.4377
   7   3 -167.00  -85.00        0.4377
   8   3 -165.00  -85.00        0.4377
   9   3 -163.00  -85.00        0.4377
  10   3 -161.00  -85.00        0.4377
  11   3 -159.00  -85.00        0.4377
  12   3 -157.00  -85.00        0.4377
  13   3 -155.00  -85.00        0.4377
  14   3 -153.00  -85.00        0.4377
  15   3 -151.00  -85.00        0.4377
  16   3 -149.00  -85.00        0.4377
  17   3 -147.00  -85.00        0.4377
  18   3 -145.00  -85.00        0.4377
  19   3 -143.00  -85.00        0.4377
  20   3 -141.00  -85.00        0.4377
  21   3 -139.00  -85.00        0.4377
  22   3 -137.00  -85.00        0.4377
  23   3 -135.00  -85.00        0.4377
  24   3 -133.00  -85.00        0.4377
  25   3 -131.00  -85.00        0.4377
  26   3 -129.00  -85.00        0.4377
  27   3 -127.00  -85.00        0.4377
  28   3 -125.00  -85.00        0.4377
  29   3 -123.00  -85.00        0.4377
  30   3 -121.00  -85.00        0.4377
  31   3 -119.00  -85.00        0.4377
  32   3 -117.00  -85.00        0.4377
  33   3 -115.00  -85.00        0.4377
  34   3 -113.00  -85.00        0.4377
  35   3 -111.00  -85.00        0.4377
  36   3 -109.00  -85.00        0.4377
  37   3 -107.00  -85.00        0.4377
  38   3 -105.00  -85.00        0.4377
  39   3 -103.00  -85.00        0.4377
  40   3 -101.00  -85.00        0.4377
  41   3  -99.00  -85.00        0.4377
  42   3  -97.00  -85.00        0.4377
  43   3  -95.00  -85.00        0.4377
  44   3  -93.00  -85.00        0.4377
  45   3  -91.00  -85.00        0.4377
  46   3  -89.00  -85.00        0.4377
  47   3  -87.00  -85.00        0.4377
  48   3  -85.00  -85.00        0.4377
  49   3  -83.00  -85.00        0.4377
  50   3  -81.00  -85.00        0.4377
  51   3  -79.00  -85.00        0.4377
  52   3  -77.00  -85.00        0.4377
  53   3  -75.00  -85.00        0.4377
  54   3  -73.00  -85.00        0.4377
  55   3  -71.00  -85.00        0.4377
  56   3  -69.00  -85.00        0.4377
  57   3  -67.00  -85.00        0.4377
  58   3  -65.00  -85.00        0.4377
  59   3  -63.00  -85.00        0.4377
  60   3  -61.00  -85.00        0.4377
  61   3  -59.00  -85.00        0.4377
  62   3  -57.00  -85.00        0.4377
  63   3  -55.00  -85.00        0.4377
  64   3  -53.00  -85.00        0.4377
  65   3  -51.00  -85.00        0.4377
  66   3  -49.00  -85.00        0.4377
  67   3  -47.00  -85.00        0.4377
  68   3  -45.00  -85.00        0.4377
  69   3  -43.00  -85.00        0.4377
  70   3  -41.00  -85.00        0.4377
  71   3  -39.00  -85.00        0.4377
  72   3  -37.00  -85.00        0.4377
  73   3  -35.00  -85.00        0.4377
  74   3  -33.00  -85.00        0.4377
  75   3  -31.00  -85.00        0.4377
  76   3  -29.00  -85.00        0.4377
  77   3  -27.00  -85.00        0.4377
  78   3  -25.00  -85.00        0.4377
  79   3  -23.00  -85.00        0.4377
  80   3  -21.00  -85.00        0.4377
  81   3  -19.00  -85.00        0.4377
  82   3  -17.00  -85.00        0.4377
  83   3  -15.00  -85.00        0.4377
  84   3  -13.00  -85.00        0.4377
  85   3  -11.00  -85.00        0.4377
  86   3   -9.00  -85.00        0.4377
  87   3   -7.00  -85.00        0.4377
  88   3   -5.00  -85.00        0.4377
  89   3   -3.00  -85.00        0.4377
  90   3   -1.00  -85.00        0.4377
  91   3    1.00  -85.00        0.4377
  92   3    3.00  -85.00        0.4377
  93   3    5.00  -85.00        0.4377
  94   3    7.00  -85.00        0.4377
  95   3    9.00  -85.00        0.4377
  96   3   11.00  -85.00        0.4377
  97   3   13.00  -85.00        0.4377
  98   3   15.00  -85.00        0.4377
  99   3   17.00  -85.00        0.4377
 100   3   19.00  -85.00        0.4377
 101   3   21.00  -85.00        0.4377
 102   3   23.00  -85.00        0.4377
 103   3   25.00  -85.00        0.4377
 104   3   27.00  -85.00        0.4377
 105   3   29.00  -85.00        0.4377
 106   3   31.00  -85.00        0.4377
 107   3   33.00  -85.00        0.4377
 108   3   35.00  -85.00        0.4377
 109   3   37.00  -85.00        0.4377
 110   3   39.00  -85.00        0.4377
 111   3   41.00  -85.00        0.4377
 112   3   43.00  -85.00        0.4377
 113   3   45.00  -85.00        0.4377
 114   3   47.00  -85.00        0.4377
 115   3   49.00  -85.00        0.4377
 116   3   51.00  -85.00        0.4377
 117   3   53.00  -85.00        0.4377
 118   3   55.00  -85.00        0.4377
 119   3   57.00  -85.00        0.4377
 120   3   59.00  -85.00        0.4377
 121   3   61.00  -85.00        0.4377
 122   3   63.00  -85.00        0.4377
 123   3   65.00  -85.00        0.4377
 124   3   67.00  -85.00        0.4377
 125   3   69.00  -85.00        0.4377
